Sentence,Rough_POS,Detailed_POS,Lemmatized_Sentence
at ipinahayag ng Rolls-Royce na kanila ngang trinatrabaho ang pamalit parte na magagamit sa loob ng labindalawang buwan.,CC.* VB.* CC.* NN.* PM.* NN.* CC.* PR.* RB.*_CC.* NN.* DT.* JJ.* NN.* CC.* VB.* CC.* NN.* CC.* JJ.*_CC.* NN.* PM.*,CCA VBTS CCB NNP PMS NNP CCP PRSP RBI_CCP NNC DTC JJD NNC CCP VBTF CCT NNC CCB JJN_CCP NNC PMP,at hayag ng rolls-royce na kanila nga trabaho ang salit parte na magagamit sa loob ng labindalawang buwan.,
Inabisuhan ng AAIB ang Boeing at Rolls-Royce na magkasamang suriin ang problema sa buong sistema ng gasolina at kapwa kompanya ay tumugon na 'tinanggap'nila itong mungkahi at inulit na ang kapalit na bahagi ay nililinang.,VB.* CC.* NN.* DT.* NN.* CC.* NN.* PM.* NN.* CC.* RB.*_CC.* VB.* DT.* NN.* CC.* PR.*_CC.* NN.* CC.* NN.* CC.* PR.* NN.* LM VB.* CC.* PM.* VB.* PM.* PR.* PR.*_CC.* NN.* CC.* VB.* RB.* DT.* JJ.* CC.* NN.* LM VB.* PM.*,VBTS CCB NNPA DTC NNP CCA NNP PMS NNP CCP RBD_CCP VBOF DTC NNC CCT PRI_CCP NNC CCB NNC CCA PRI NNC LM VBAF CCP PMS VBOF PMS PRP PRO_CCP NNC CCA VBOF RBI DTC JJD CCP NNC LM VBTR PMP,inabisuhan ng aaib ang boeing at rolls-royce na kasama suri ang problema sa buo sistema ng gasolina at kapwa kompanya ay tugon na 'tinanggap'nila ito mungkahi at inulit na ang palit na bahagi ay nililinang.,
Kapwa ang NTSB at AAIB ay nagpadala rin ng mga sulat sa Us Federal Aviation Administration at sa European Aviation Safety Agency na himihiling na ang pagkakabit ng nabagong bahagi ay maging pautos.,JJ.* DT.* NN.* CC.* NN.* LM VB.* RB.* CC.* DT.* NN.* CC.* NN.* NN.* NN.* NN.* CC.* CC.* NN.* NN.* NN.* NN.* CC.* FW CC.* DT.* VB.* CC.* JJ.*_CC.* NN.* LM VB.* NN.* PM.*,JJD DTC NNPA CCA NNPA LM VBTS RBI CCB DTCP NNC CCT NNP NNP NNP NNP CCA CCT NNP NNP NNP NNP CCP FW CCP DTC VBW CCB JJD_CCP NNC LM VBW NNC PMP,kapwa ang ntsb at aaib ay dala rin ng mga sulat sa us federal aviation administration at sa europe aviation safety agency na hiling na ang kabit ng bago bahagi ay maging pautos.,
Iminungkahi ng NTSB na ito ay dapat maging alinman sa sunod pagsisiyasat ng pagpapanatili o sa loob ng anim na buwan.,VB.* CC.* NN.* CC.* PR.* LM VB.* VB.* PR.* CC.* JJ.* NN.* CC.* NN.* CC.* CC.* NN.* CC.* JJ.* CC.* NN.* PM.*,VBTS CCB NNPA CCP PRO LM VBS VBW PRQ CCT JJD NNC CCB NNC CCT CCT NNC CCB JJN CCP NNC PMP,mungkahi ng ntsb na ito ay dapat maging alinman sa sunod siyasat ng pagpapanatili o sa loob ng anim na buwan.,
Mayroong 220 Boeing 777-200s - ang nag-iisang uri na gumagamit ng napinsalang makina - na may trent 800 na hanay ng makina.,VB.*_CC.* CD.* NN.* CD.* PM.* CD.* PM.* DT.* PR.*_CC.* PM.* PR.*_CC.* NN.* CC.* VB.*_VB.* CC.* VB.*_CC.* NN.* PM.* CC.* VB.* FW CD.* CC.* NN.* CC.* NN.* PM.*,VBH_CCP CDB NNP CDB PMS CDB PMS DTC PRSP_CCP PMS PRI_CCP NNC CCP VBTR_VBAF CCB VBTR_CCP NNC PMS CCP VBH FW CDB CCP NNC CCB NNC PMP,mayroong 220 boeing 777-200s - ang nag-iisang uri na gamit ng pinsala makina - na may trent 800 na hanay ng makina.,
Ang pamalit init ng gasolina/langis ay disenyong may parteng dalawang layunin upang magkasabay na magpatunaw ng gasolinang yelo at magpalamig ng langis ng makina.,DT.* NN.* NN.* CC.* NN.* PM.* NN.* LM NN.*_CC.* VB.* NN.*_CC.* JJ.*_CC.* NN.* CC.* VB.* CC.* VB.* CC.* NN.*_CC.* NN.* CC.* VB.* CC.* NN.* CC.* NN.* PM.*,DTC NNC NNC CCB NNC PMS NNC LM NNC_CCP VBH NNC_CCP JJN_CCP NNC CCB VBW CCP VBAF CCB NNC_CCP NNC CCA VBW CCB NNC CCB NNC PMP,ang salit init ng gasolina/langis ay disenyo may parte dalawa layunin upang sabay na tunaw ng gasolina yelo at lamig ng langis ng makina.,
"Binanggit pa ng AAIB na hindi maliwanag kung may panganib din ang ibang mga disenyo ng sasakyang panghimpapawid,",VB.* RB.* CC.* NN.* CC.* RB.* JJ.* CC.* VB.* NN.* RB.* DT.* PR.*_CC.* DT.* NN.* CC.* NN.*_CC.* JJ.* PM.*,VBOF RBI CCB NNPA CCP RBF JJD CCR VBH NNC RBI DTC PRI_CCP DTCP NNC CCB NNC_CCP JJD PMC,"banggit pa ng aaib na hindi liwanag kung may panganib din ang iba mga disenyo ng sasakyang panghimpapawid,",
at inabisuhan ang FAA at EASA na suriin ang dumaming paggamit ng mga aditibong pangpatunaw ng yelo at parehas na imbestigahan ang pagkabuo biglaang pagkilos ng yelo sa sistema ng gasolina ng sasakyang panghimpapawid at ang tunay na pagkabuo ng yelo sa mismong gasolina.,CC.* VB.* DT.* NN.* CC.* NN.* CC.* VB.* DT.* VB.*_VB.*_CC.* NN.* CC.* DT.* NN.*_CC.* JJ.* CC.* NN.* CC.* JJ.* CC.* VB.* DT.* NN.* RB.*_CC.* VB.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.*_CC.* JJ.* CC.* DT.* JJ.* CC.* NN.* CC.* NN.* CC.* RB.*_CC.* NN.* PM.*,CCA VBTS DTC NNPA CCA NNPA CCP VBOF DTC VBTR_VBAF_CCP NNC CCB DTCP NNC_CCP JJD CCB NNC CCA JJC CCP VBOF DTC NNC RBD_CCP VBW CCB NNC CCT NNC CCB NNC CCB NNC_CCP JJD CCA DTC JJD CCP NNC CCB NNC CCT RBT_CCP NNC PMP,at inabisuhan ang faa at easa na suri ang dami gamit ng mga aditibong pangpatunaw ng yelo at parehas na imbestiga ang buo biglaang kilos ng yelo sa sistema ng gasolina ng sasakyang panghimpapawid at ang tunay na buo ng yelo sa mismo gasolina.,
Isang bagong kampanyang pang-anunsyo sa USA para sa Sony PSP na parang bandalismo at madalas na iniispreyan sa dati nang natampalasang mga pader ay lumabas na nsa ilalim ng pagsalakay mula sa ibang mga pintor.,PR.*_CC.* JJ.*_CC.* NN.*_CC.* RB.*_CC.* PM.* NN.* CC.* NN.* CC.* CC.* NN.* NN.* CC.* CC.* NN.* CC.* RB.* CC.* VB.* CC.* RB.* RB.* VB.*_CC.* DT.* NN.* LM VB.* CC.* FW RB.* CC.* NN.* RB.* CC.* PR.*_CC.* DT.* NN.* PM.*,PRI_CCP JJD_CCP NNC_CCP RBI_CCP PMS NNC CCT NNPA CCT CCT NNP NNPA CCP CCT NNC CCA RBD CCP VBTR CCT RBW RBW VBTR_CCP DTCP NNC LM VBAF CCP FW RBL CCB NNC RBL CCT PRI_CCP DTCP NNC PMP,isa bago kampanya anunsyo sa usa para sa sony psp na parang bandalismo at dalas na iniispreyan sa dati nang natampalasang mga pader ay labas na nsa ilalim ng salakay mula sa iba mga pintor.,
"Ang sama-samang pangkat ng mga pintor ng bandalismo at mga pintor sa lansangan ay nagpapangkat ng magkasama ngayon,",DT.* NN.* PM.* PR.*_CC.* NN.* CC.* DT.* NN.* CC.* NN.* CC.* DT.* NN.* CC.* NN.* LM VB.* CC.* VB.* RB.* PM.*,DTC NNC PMS PRI_CCP NNC CCB DTCP NNC CCB NNC CCA DTCP NNC CCT NNC LM VBTR CCB VBAF RBW PMC,"ang sama pangkat ng mga pintor ng bandalismo at mga pintor sa lansangan ay pangkat ng kasama ngayon,",
tinatalampas ang kanyang bandalismong mga anunsyo.,VB.* DT.* PR.*_CC.* JJ.*_CC.* DT.* NN.* PM.*,VBTR DTC PRSP_CCP JJD_CCP DTCP NNC PMP,tinatalampas ang kanya bandalismo mga anunsyo.,
"Ang kampanya ay nakasakit sa madaming pintor ng bandalismo at pintor sa mga lansangan,",DT.* NN.* LM VB.* CC.* PR.*_CC.* NN.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* PM.*,DTC NNC LM VBTS CCT PRI_CCP NNC CCB NNC CCA NNC CCT DTCP NNC PMC,"ang kampanya ay sakit sa dami pintor ng bandalismo at pintor sa mga lansangan,",
humahalaw ng mga tugon gaya ng ""panatilihin ang iyong desperadong kasama na mahaba ang braso sa labas ng kilusan na ito ang nagiisang bagay na sa amin!"",VB.* CC.* DT.* NN.* JJ.* CC.* PM.* VB.* DT.* PR.*_CC.* JJ.*_CC.* CC.* CC.* JJ.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* PR.* DT.* VB.*_CC.* NN.* CC.* CC.* PR.* PM.* PM.*,VBTR CCB DTCP NNC JJC CCB PMS VBOF DTC PRSP_CCP JJD_CCP CCB CCP JJD DTC NNC CCT NNC CCB NNC CCP PRO DTC VBTS_CCP NNC CCP CCT PRSP PMS PMS,halaw ng mga tugon gaya ng ""panatilihin ang iyo desperado kasama na haba ang braso sa labas ng kilusan na ito ang isa bagay na sa amin!"",
"Ngunit hindi lahat ng tugon ay naging negatibo,",CC.* RB.* PR.* CC.* NN.* LM VB.* NN.* PM.*,CCT RBF PRI CCB NNC LM VBTS NNC PMC,"ngunit hindi lahat ng tugon ay naging negatibo,",
kalakip ng madaming pintor ipinagtatanggol ang Sony sinasabing mayroon silang karapatan.,JJ.* CC.* JJ.*_CC.* NN.* VB.* DT.* NN.* VB.*_CC.* VB.* PR.*_CC.* NN.* PM.*,JJD CCB JJD_CCP NNC VBTR DTC NNP VBTR_CCP VBH PRP_CCP NNC PMP,lakip ng dami pintor tanggol ang sony sabi mayroon silang karapatan.,
"""Ang Sony at PSP ay may karapatan na gamitin ang ganitong uri ng medyas"" Sinabi sa wired news ni Floyd Hayes,",PM.*  DT.* NN.* CC.* NN.* LM VB.* NN.* CC.* VB.* DT.* PR.*_CC.* NN.* CC.* NN.* PM.* VB.* CC.* NN.* NN.* DT.* NN.* NN.* PM.*,PMS  DTC NNP CCA NNPA LM VBH NNC CCP VBOF DTC PRC_CCP NNC CCB NNC PMS VBTS CCT NNC NNC DTP NNP NNP PMC,"""ang sony at psp ay may karapatan na gamit ang ganito uri ng medyas"" sabi sa wired news ni floyd hayes,",
ang pangutong direktor ng malikhain sa cunning work.,DT.* JJ.*_CC.* NN.* CC.* JJ.* CC.* FW FW PM.*,DTC JJD_CCP NNC CCB JJD CCT FW FW PMP,ang tutong direktor ng likha sa cunning work.,
"""Ginawa na nila ito sa napakahabang panahon nang napakamatagumpay at nagsalita ng wika ng mga lansangan ng walang pagtangkilik.""",PM.*  VB.* CC.* PR.* PR.* CC.* JJ.*_JJ.*_CC.* NN.* RB.* JJ.*_JJ.* CC.* VB.* CC.* NN.* CC.* DT.* NN.* CC.* VB.*_CC.* NN.* PM.* PM.*,PMS  VBOF CCP PRP PRO CCT JJCS_JJD_CCP NNC RBW JJCS_JJD CCA VBTS CCB NNC CCB DTCP NNC CCB VBN_CCP NNC PMP PMS,gawa na nila ito sa habang panahon nang napakamatagumpay at salita ng wika ng mga lansangan ng wala pagtangkilik.,
Sinabi ng Sony na binabayaran nito ang mga may-ari ng gusali gaya ng Casa Maria para sa karapatan na mag-anunsyo sa kanilang pader.,VB.* CC.* NN.* CC.* VB.* PR.* DT.* DT.* VB.* PM.* NN.* CC.* NN.* JJ.* CC.* NN.* NN.* CC.* CC.* NN.* CC.* VB.* PM.* NN.* CC.* PR.*_CC.* NN.* PM.*,VBTS CCB NNP CCP VBTR PRO DTC DTCP VBH PMS NNC CCB NNC JJC CCB NNP NNP CCT CCT NNC CCP VBW PMS NNC CCT PRSP_CCP NNC PMP,sabi ng sony na binabayaran nito ang mga ari ng gusali gaya ng casa maria para sa karapatan na anunsyo sa kanila pader.,
"Ang Casa Maria ay binayaran ng $100 para sa dalawang linggong paggamit ng kanilang pader,",DT.* NN.* NN.* LM VB.* CC.* PM.* CD.* CC.* CC.* JJ.*_CC.* NN.*_CC.* NN.* CC.* PR.*_CC.* NN.* PM.*,DTC NNP NNP LM VBOF CCB PMS CDB CCT CCT JJN_CCP NNC_CCP NNC CCB PRSP_CCP NNC PMC,"ang casa maria ay binayaran ng $100 para sa dalawa linggo gamit ng kanila pader,",
sinabi sa Wired News ng kasamang may ari na si Mario Arana.,VB.* CC.* NN.* NN.* CC.* CC.*_CC.* VB.* NN.* CC.* DT.* NN.* NN.* PM.*,VBTS CCT NNP NNP CCB CCB_CCP VBH NNC CCP DTP NNP NNP PMP,sabi sa wired news ng kasama may ari na si mario arana.,
"Si Tats Cru,",DT.* NN.* NN.* PM.*,DTP NNP NNP PMC,"si tats cru,",
"ang kawan ng bandalismo na may pananagutan para sa mga disenyo,",DT.* NN.* CC.* NN.* CC.* VB.* NN.* CC.* CC.* DT.* NN.* PM.*,DTC NNC CCB NNC CCP VBH NNC CCT CCT DTCP NNC PMC,"ang kawan ng bandalismo na may pananagutan para sa mga disenyo,",
ay gayunding tinarget ng mga mapanlait na islogan sa mga anunsyo ng Sony.,LM JJ.*_CC.* NN.* CC.* DT.* JJ.* CC.* NN.* CC.* DT.* NN.* CC.* NN.* PM.*,LM JJD_CCP NNC CCB DTCP JJD CCP NNC CCT DTCP NNC CCB NNP PMP,ay gayunding target ng mga mapanlait na islogan sa mga anunsyo ng sony.,
Anim na kompanya ng enerhiya sa United Kingdom ay nagpahayag na ito ay malamang na ang mga presyo para sa bayarin sa enerhiya ay maaring tumaas higit sa kaaralan ng 2010.,JJ.* CC.* NN.* CC.* NN.* CC.* NN.* NN.* LM VB.* CC.* PR.* LM RB.* CC.* DT.* DT.* NN.* CC.* CC.* VB.* CC.* NN.* LM RB.* VB.* JJ.* CC.* NN.* CC.* CD.* PM.*,JJN CCP NNC CCB NNC CCT NNP NNP LM VBTS CCP PRO LM RBD CCP DTC DTCP NNC CCT CCT VBOF CCT NNC LM RBM VBAF JJCC CCT NNC CCB CDB PMP,anim na kompanya ng enerhiya sa united kingdom ay hayag na ito ay lamang na ang mga presyo para sa bayarin sa enerhiya ay ari taas higit sa aral ng 2010.,
"Ang mga kompanya,",DT.* DT.* NN.* PM.*,DTC DTCP NNC PMC,"ang mga kompanya,",
"na pinalayawan ng ""malaking anim"" sa United Kingdom,",CC.* VB.* CC.* PM.* JJ.*_CC.* JJ.* PM.* CC.* NN.* NN.* PM.*,CCP VBTS CCB PMS JJD_CCP JJN PMS CCT NNP NNP PMC,"na palayaw ng ""malaking anim"" sa united kingdom,",
ay hindi nagpasa ng impormasyon na magkakaroon ng pagputo sa presyo sa babayaran sa enerhiya sa kabila ng tumataas na kita.,LM RB.* VB.* CC.* NN.* CC.* VB.* CC.* NN.* CC.* NN.* CC.* VB.* CC.* NN.* CC.* CC.* CC.* VB.*_VB.* CC.* NN.* PM.*,LM RBF VBTS CCB NNC CCP VBTF CCB NNC CCT NNC CCT VBTF CCT NNC CCT CCT CCB VBTR_VBAF CCP NNC PMP,ay hindi pasa ng impormasyon na roon ng puto sa presyo sa babayaran sa enerhiya sa kabila ng taas na kita.,
ang mga kompanya sa katunayan ay nagpadala ng mensahe bilang tugon sinasabing ang mga presyo ng babayaran ay maaring tumaas higit sa kaaralan ng sunod na taon.,DT.* DT.* NN.* CC.* NN.* LM VB.* CC.* NN.* CC.* NN.* VB.*_CC.* DT.* DT.* NN.* CC.* VB.* LM RB.* VB.* JJ.* CC.* NN.* CC.* JJ.* CC.* NN.* PM.*,DTC DTCP NNC CCT NNC LM VBTS CCB NNC CCT NNC VBTR_CCP DTC DTCP NNC CCB VBTF LM RBM VBAF JJCC CCT NNC CCB JJD CCP NNC PMP,ang mga kompanya sa tunay ay dala ng mensahe bilang tugon sabi ang mga presyo ng babayaran ay ari taas higit sa aral ng sunod na taon.,
"Ang tagabantay ng kompanya ng enerhiya na Office of Gas and Electricity Markets (Ofgem) ay tumantya na ang mga kompanya ng enerhiya ay gagawa ng kabuuang tubo ng £170 ($276) bawa't mamimili ng dalawang panggatong sa loob ng susunod na labing dalawang buwan,",DT.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* FW NN.* FW NN.* NN.* NN.* NN.* NN.* LM VB.* CC.* DT.* DT.* NN.* CC.* NN.* LM VB.* CC.* PR.*_CC.* NN.* CC.* PM.* CD.* NN.* PM.* CD.* NN.* FW PM.* NN.* NN.* CC.* JJ.*_CC.* NN.* CC.* NN.* CC.* VB.* CC.* JJ.* JJ.*_CC.* NN.* PM.*,DTC NNC CCB NNC CCB NNC CCP NNP FW NNP FW NNP NNP NNPA NNP NNPA LM VBAF CCP DTC DTCP NNC CCB NNC LM VBTF CCB PRI_CCP NNC CCB PMS CDB NNPA PMS CDB NNPA FW PMS NNCA NNC CCB JJN_CCP NNC CCT NNC CCB VBTF CCP JJN JJN_CCP NNC PMC,"ang tagabantay ng kompanya ng enerhiya na office of gas and electricity markets (ofgem) ay tantya na ang mga kompanya ng enerhiya ay gawa ng kabuuang tubo ng £170 ($276) bawa't mamimili ng dalawa panggatong sa loob ng sunod na labi dalawa buwan,",
dahil sa kamakailang pagbagsak ng mga halaga ng pakyawang enerhiya.,CC.* CC.* RB.*_CC.* NN.* CC.* DT.* NN.* CC.* NN.*_CC.* NN.* PM.*,CCR CCT RBW_CCP NNC CCB DTCP NNC CCB NNC_CCP NNC PMP,dahil sa kaila bagsak ng mga halaga ng pakyawang enerhiya.,
Sinabi ni Ofgem:,VB.* DT.* NN.* PM.*,VBTS DTP NNP PMS,sabi ni ofgem:,
"""Ang aming pagsusuri ay nagpapakita na base sa 18 buwan ba pagpipimping estratehiya at sa pag-aakala na ang tinging presyo ay nanatiling hindi nagbago,",PM.*  DT.* PR.*_CC.* NN.* LM VB.* CC.* NN.* CC.* CD.* NN.* RB.* VB.*_CC.* NN.* CC.* CC.* CC.* PM.* NN.* CC.* DT.* FW NN.* LM VB.*_CC.* RB.* VB.* PM.*,PMS  DTC PRSP_CCP NNC LM VBTR CCP NNC CCT CDB NNC RBI VBW_CCP NNC CCA CCT CCR PMS NNC CCP DTC FW NNC LM VBTS_CCP RBF VBTS PMC,"""ang aming suri ay kita na base sa 18 buwan ba pagpipimping estratehiya at sa pag-aakala na ang tingi presyo ay tili hindi nagbago,",
inaasahang ang kabunang palabis ay nakatakda na tumaas ng halos £80 para sa dalawang gasolinang mamimili ng higit sa sunod na anim nabuwan."",VB.*_CC.* DT.* NN.*_CC.* NN.* LM VB.* CC.* VB.* CC.* JJ.* PM.* CD.* CC.* CC.* JJ.*_CC.* NN.*_CC.* NN.* CC.* JJ.* CC.* JJ.* CC.* JJ.* VB.* PM.* PM.*,VBTR_CCP DTC NNC_CCP NNC LM VBTS CCP VBAF CCB JJD PMS CDB CCT CCT JJN_CCP NNC_CCP NNC CCB JJCC CCT JJD CCP JJN VBTS PMP PMS,inaasahang ang kabunang labis ay takda na taas ng halos £80 para sa dalawa gasolina mamimili ng higit sa sunod na anim nabuwan."",
"Ang ""malaking anim"" kompanya ng enerhiya sa United Kingdom ay British Gas,",DT.* PM.* JJ.*_CC.* JJ.* PM.* NN.* CC.* NN.* CC.* NN.* NN.* LM NN.* NN.* PM.*,DTC PMS JJD_CCP JJN PMS NNC CCB NNC CCT NNP NNP LM NNP NNP PMC,"ang ""malaking anim"" kompanya ng enerhiya sa united kingdom ay british gas,",
"E-on,",NN.* PM.* FW PM.*,NNP PMS FW PMC,"e-on,",
"N power,",NN.* FW PM.*,NNP FW PMC,"n power,",
"Scottish Southern Energy,",NN.* NN.* NN.* PM.*,NNP NNP NNP PMC,"scottish southern energy,",
"Scottish Power,",NN.* NN.* PM.*,NNP NNP PMC,"scottish power,",
at EDF Energy.,CC.* NN.* NN.* PM.*,CCA NNPA NNP PMP,at edf energy.,
Ipinahayag ng British Gas:,VB.* CC.* NN.* NN.* PM.*,VBTS CCB NNP NNP PMS,hayag ng british gas:,
"""Ang mga presyo [ay] malamang na mananatili sa makasaysayang mataas na antas,",PM.*  DT.* DT.* NN.* NN.* LM NN.* RB.* CC.* VB.* CC.* JJ.*_CC.* JJ.* CC.* NN.* PM.*,PMS  DTC DTCP NNC NNPA LM NNPA RBI CCP VBW CCT JJD_CCP JJD CCP NNC PMC,"""ang mga presyo [ay] lamang na tili sa sayang taas na antas,",
at sa katunayan malamang ay tumaas habang ang halaga ng hindi-kasangkapan ay tumaas lahat paakyat."",CC.* CC.* NN.* RB.* LM VB.* RB.* DT.* NN.* CC.* RB.* PM.* NN.* LM VB.* PR.* JJ.* PM.* PM.*,CCA CCT NNC RBI LM VBAF RBW DTC NNC CCB RBF PMS NNC LM VBAF PRI JJD PMP PMS,at sa tunay lamang ay taas habang ang halaga ng sangkap ay taas lahat paakyat."",
EDF Energy ay nagsabi:,NN.* NN.* LM VB.* PM.*,NNPA NNP LM VBTS PMS,edf energy ay nagsabi:,
"""[Kami] syempre ay magiging handa na bawasan ang taripa kung hahayaan ng kondisyon ng pamilihan.""",PM.*  NN.* PR.* NN.* FW LM VB.* JJ.* CC.* VB.* DT.* NN.* CC.* VB.* CC.* NN.* CC.* NN.* PM.* PM.*,PMS  NNPA PRP NNPA FW LM VBTF JJD CCP VBOF DTC NNC CCR VBTF CCB NNC CCB NNC PMP PMS,[kami] syempre ay igi handa na bawas ang taripa kung haya ng kondisyon ng pamilihan.,
Inihayag ng Scottish Power:,VB.* CC.* NN.* NN.* PM.*,VBTS CCB NNP NNP PMS,hayag ng scottish power:,
"""Walang mabilisang mga signal na magpapakita ng pagbaba ng presyo ng retail para sa taglamig,",PM.*  VB.*_CC.* JJ.*_CC.* DT.* NN.* CC.* VB.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* CC.* NN.* PM.*,PMS  VBN_CCP JJD_CCP DTCP NNC CCP VBTF CCB NNC CCB NNC CCB NNC CCT CCT NNC PMC,"""walang mabilisang mga signal na kita ng baba ng presyo ng retail para sa taglamig,",
at mga panganib ng pagtaas sa susunod na taon."",CC.* DT.* NN.* CC.* NN.* CC.* VB.* CC.* NN.* PM.* PM.*,CCA DTCP NNC CCB NNC CCT VBTF CCP NNC PMP PMS,at mga panganib ng taas sa sunod na taon."",
Sinabi ng Scottish & Southern Energy na :,VB.* CC.* NN.* PM.* NN.* NN.* CC.* PM.*,VBTS CCB NNP PMS NNP NNP CCP PMS,sabi ng scottish & southern energy na :,
"""sa pamamagitan nga pasulong na taunan pakyawang mga presyo na mas mataas nang malaki,",PM.*  CC.* NN.* RB.* NN.* CC.* JJ.* NN.*_CC.* DT.* NN.* CC.* JJ.* JJ.* RB.* JJ.* PM.*,PMS  CCT NNC RBI NNC CCP JJD NNC_CCP DTCP NNC CCP JJCC JJD RBW JJD PMC,"""sa pamamagitan nga sulo na taunan pakyawang mga presyo na mas taas nang malaki,",
"at sa pamamagitan ng pataas na puwersa pag dating sa halaga ng pamamahagi,",CC.* CC.* NN.* CC.* JJ.* CC.* NN.* CC.* RB.*_CC.* CC.* NN.* CC.* NN.* PM.*,CCA CCT NNC CCB JJD CCP NNC CCR RBW_CCP CCT NNC CCB NNC PMC,"at sa pamamagitan ng taas na puwersa pag dating sa halaga ng pamamahagi,",
"pangkapaligiran,",JJ.* PM.*,JJD PMC,"pangkapaligiran,",
"at panglipunan,",CC.* JJ.* PM.*,CCA JJD PMC,"at panglipunan,",
paghahangad ng pag-iwas ng pagtaas sa pagitan ng kasalukuyan at huling panahon ng 2010 ay mahalagang layunin."",VB.* CC.* CC.* PM.* JJ.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* JJ.*_CC.* NN.* CC.* CD.* LM JJ.*_CC.* NN.* PM.* PM.*,VBW CCB CCR PMS JJD CCB NNC CCT NNC CCB NNC CCA JJD_CCP NNC CCB CDB LM JJD_CCP NNC PMP PMS,hangad ng iwas ng taas sa pagitan ng kasalukuyan at huli panahon ng 2010 ay halaga layunin."",
isang pagaaral ng Consumer Focus noong Setyembre 2009 ang nagpanukala na ""Ang mga kompanya ng enerhiya ay sobrang magpatong sa mga customer ng £100 ($162) sa bawat taon."",PR.*_CC.* NN.* CC.* NN.* NN.* RB.*_CC.* NN.* CD.* DT.* VB.* CC.* PM.* DT.* DT.* NN.* CC.* NN.* LM JJ.*_CC.* VB.* CC.* DT.* FW CC.* PM.* CD.* NN.* PM.* CD.* NN.* CC.* PR.* NN.* PM.* PM.*,PRI_CCP NNC CCB NNP NNP RBW_CCP NNP CDB DTC VBTS CCP PMS DTC DTCP NNC CCB NNC LM JJCS_CCP VBAF CCT DTCP FW CCB PMS CDB NNPA PMS CDB NNPA CCT PRI NNC PMP PMS,isa pagaaral ng consumer focus noo setyembre 2009 ang panukala na ""ang mga kompanya ng enerhiya ay sobra pato sa mga customer ng £100 ($162) sa bawat taon."",
"Isang tagapagsalita para sa Ofgem ay nagsabi na walang ebidensya na may kahit anong cartel sa operasyon,",PR.*_CC.* NN.* CC.* CC.* NN.* LM VB.* CC.* VB.*_CC.* NN.* CC.* VB.* CC.* PR.*_CC.* NN.* CC.* NN.* PM.*,PRI_CCP NNC CCT CCT NNP LM VBTS CCP VBN_CCP NNC CCP VBH CCT PRQ_CCP NNC CCT NNC PMC,"isa tagapagsalita para sa ofgem ay sabi na wala ebidensya na may kahit ano cartel sa operasyon,",
o ebidensya ng profiteering.,CC.* NN.* CC.* FW PM.*,CCT NNC CCB FW PMP,o ebidensya ng profiteering.,
Ang tagapagsalita ay nagkomento:,DT.* NN.* LM VB.* PM.*,DTC NNC LM VBTS PMS,ang tagapagsalita ay nagkomento:,
"""nasa mga kompanya na ang desisyon kung babawasan nila ang kanilang mga bayarin.""",PM.*  RB.* DT.* NN.* CC.* DT.* NN.* CC.* VB.* PR.* DT.* PR.*_CC.* DT.* VB.* PM.* PM.*,PMS  RBL DTCP NNC CCP DTC NNC CCR VBTF PRP DTC PRSP_CCP DTCP VBOF PMP PMS,nasa mga kompanya na ang desisyon kung bawas nila ang kanila mga bayarin.,
""Ang datos ng Consumer Focus ay nagpanukala na ang Scottish Power ay nagtaas ng presyo ng dual fuel sa pinakamataas simula pa noong 2003 - tumaas ng 148% habang nagbawas ng mga presyo ng,PM.*  DT.* NN.* CC.* NN.* NN.* LM VB.* CC.* DT.* NN.* NN.* LM VB.* CC.* NN.* CC.* FW FW CC.* JJ.*_JJ.* RB.* RB.* RB.*_CC.* CD.* PM.* VB.* CC.* CD.* PM.* RB.* VB.* CC.* DT.* NN.* CC.*,PMS  DTC NNC CCB NNP NNP LM VBTS CCP DTC NNP NNP LM VBTS CCB NNC CCB FW FW CCT JJCS_JJD RBW RBI RBW_CCP CDB PMS VBAF CCB CDB PMS RBW VBTS CCB DTCP NNC CCB,""ang datos ng consumer focus ay panukala na ang scottish power ay taas ng presyo ng dual fuel sa taas simula pa noo 2003 - taas ng 148% habang bawas ng mga presyo ng,
6% ngayong taon."",CD.* PM.* RB.*_CC.* NN.* PM.* PM.*,CDB PMS RBW_CCP NNC PMP PMS,6% ngayong taon."",
"""RWE's Npower ay nagtaas ng taripa ng 132% simula ng 2003,",PM.*  NN.* PM.* NN.* NN.* LM VB.* CC.* NN.* CC.* CD.* PM.* RB.* CC.* CD.* PM.*,PMS  NNPA PMS NNCA NNP LM VBTS CCB NNC CCB CDB PMS RBW CCB CDB PMC,"""rwe's npower ay taas ng taripa ng 132% simula ng 2003,",
pero nagbawas ng bayarin ng,CC.* VB.* CC.* VB.* CC.*,CCT VBTS CCB VBOF CCB,pero bawas ng bayarin ng,
